epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25809,3.92465,4.44369,2.72292,0.13377,0.01719,0.00996,0.00337,3.80383,3.74921,2.95501,0.0025,0.0025,0.0025
2,14.9607,3.45911,3.40288,2.45234,0.20266,0.03438,0.02151,0.00736,3.37447,3.52265,2.65688,0.00509832,0.00509832,0.00509832
3,22.6264,3.10509,3.29706,2.15507,0.20365,0.00587,0.01185,0.00383,3.09129,3.82701,2.45879,0.00769492,0.00769492,0.00769492
4,29.6443,3.18591,3.45944,2.21298,0.23239,0.01433,0.02455,0.00938,3.04694,3.81029,2.46444,0.0099901,0.0099901,0.0099901
5,36.6373,3.12161,3.30396,2.145,0.13145,0.10888,0.04211,0.01339,3.11644,4.49679,2.6395,0.0099868,0.0099868,0.0099868
6,44.4799,3.04477,3.3301,2.14846,0.09773,0.06921,0.03192,0.01162,3.12115,3.36472,2.61718,0.0099835,0.0099835,0.0099835
7,51.1973,3.01575,3.19996,2.10751,0.20403,0.09169,0.0421,0.01703,3.07485,3.2277,2.49504,0.0099802,0.0099802,0.0099802
8,57.6627,2.97702,3.07183,2.02443,0.19066,0.10029,0.0465,0.01688,3.10036,3.27354,2.48169,0.0099769,0.0099769,0.0099769
9,64.1211,2.93838,3.03084,2.03339,0.04125,0.06304,0.00713,0.00265,3.39167,4.11341,2.67856,0.0099736,0.0099736,0.0099736
10,70.3213,2.89539,2.99287,1.99692,0.16349,0.12894,0.0524,0.02094,2.89128,3.23529,2.29636,0.0099703,0.0099703,0.0099703
11,77.2714,2.91503,3.01307,1.98855,0.27748,0.14327,0.09292,0.0404,2.81574,3.04476,2.38838,0.009967,0.009967,0.009967
12,83.7366,2.91189,3.00095,1.99618,0.25462,0.07736,0.04232,0.01789,3.17187,3.59958,2.49703,0.0099637,0.0099637,0.0099637
13,89.9816,2.82948,2.96265,1.9264,0.3213,0.10315,0.07639,0.02728,3.0828,3.14038,2.45372,0.0099604,0.0099604,0.0099604
14,96.4492,2.97903,3.11422,2.056,0.2435,0.10602,0.06081,0.02483,3.17214,3.51608,2.38902,0.0099571,0.0099571,0.0099571
15,102.57,2.8117,2.89097,1.92608,0.33689,0.11748,0.08938,0.04012,3.03886,2.99646,2.40371,0.0099538,0.0099538,0.0099538
16,108.826,2.95035,3.01926,2.02518,0.55239,0.08309,0.07303,0.02835,3.22721,3.6861,2.64234,0.0099505,0.0099505,0.0099505
17,114.951,2.84721,2.93387,1.97223,0.20175,0.08023,0.04317,0.01738,3.17358,3.23687,2.35456,0.0099472,0.0099472,0.0099472
18,121.144,2.88941,2.93633,1.96789,0.29848,0.12607,0.08679,0.04107,2.92418,3.1227,2.21764,0.0099439,0.0099439,0.0099439
19,127.43,2.85611,2.94223,1.93862,0.28722,0.07163,0.06313,0.0294,3.07564,3.46895,2.33661,0.0099406,0.0099406,0.0099406
20,134.515,2.85937,2.90757,1.93945,0.43533,0.12607,0.08288,0.03519,2.74524,3.38205,2.29807,0.0099373,0.0099373,0.0099373
21,140.734,2.82099,2.85677,1.92197,0.25949,0.149,0.07623,0.03383,2.73143,3.0439,2.13241,0.009934,0.009934,0.009934
22,146.944,2.84704,2.88073,1.92467,0.36614,0.08883,0.06228,0.02587,3.1061,3.27715,2.27936,0.0099307,0.0099307,0.0099307
23,153.901,2.82255,2.86792,1.88705,0.40063,0.07163,0.07245,0.02779,3.04801,3.27,2.1942,0.0099274,0.0099274,0.0099274
24,160.428,2.78847,2.79797,1.89027,0.35435,0.10602,0.0938,0.04248,3.15421,3.39071,2.38576,0.0099241,0.0099241,0.0099241
25,166.998,2.76696,2.83754,1.89684,0.23324,0.0086,0.00761,0.00467,3.73757,5.99026,3.10201,0.0099208,0.0099208,0.0099208
26,173.298,2.74358,2.81172,1.90705,0.29924,0.11175,0.08214,0.0319,3.01106,3.21191,2.37838,0.0099175,0.0099175,0.0099175
27,180.595,2.83103,2.92282,1.91948,0.27555,0.149,0.10166,0.04116,2.9,3.18665,2.23399,0.0099142,0.0099142,0.0099142
28,187.475,2.85326,3.01863,1.95612,0.3551,0.0745,0.05575,0.02103,3.60624,3.39904,2.36474,0.0099109,0.0099109,0.0099109
29,194.603,2.74297,2.78862,1.87396,0.30537,0.09169,0.07646,0.03636,2.88892,3.41004,2.15157,0.0099076,0.0099076,0.0099076
30,200.846,2.78256,2.8172,1.92518,0.19497,0.05444,0.04088,0.01425,3.20934,3.38498,2.29388,0.0099043,0.0099043,0.0099043
31,207.083,2.69452,2.79861,1.85487,0.39377,0.10888,0.10655,0.0523,2.8838,3.04657,2.16703,0.009901,0.009901,0.009901
32,213.636,2.68599,2.7008,1.83904,0.35656,0.13467,0.09361,0.04554,2.8813,3.02962,2.14251,0.0098977,0.0098977,0.0098977
